month_of_year,season_group,n_observaciones,avg_p_oos_h4,sum_expected_units_lost,sum_eur_at_risk,n_stockout_real,precision_realizada
1,REST,22215,0.0098,862.49,43626.87,183,0.0082
2,REST,17772,0.0104,738.42,37252.01,310,0.0174
3,REST,17772,0.0131,952.93,54337.7,217,0.0122
4,REST,22215,0.0141,1301.78,64247.67,399,0.018
5,HIGH_SEASON,13329,0.0146,816.95,38718.71,252,0.0189
5,REST,4443,0.0158,295.16,15003.92,66,0.0149
6,HIGH_SEASON,17772,0.0153,1491.19,52795.48,230,0.0129
7,HIGH_SEASON,22215,0.0131,1513.84,67060.53,411,0.0185
8,HIGH_SEASON,17772,0.0148,1048.14,57498.95,330,0.0186
9,REST,22215,0.0154,1494.99,84627.04,1145,0.0515
10,REST,17772,0.0074,561.27,56239.65,423,0.0238
11,REST,17772,0.0007,4.97,912.15,111,0.0062
