week_of_year,season_group,tipo_abc,n_observaciones,n_skus_activos,n_kpi_matched,avg_p_oos_h4,avg_yhat_p50_h4,avg_q90_h4,avg_y_true_h4,avg_expected_units_lost,sum_expected_units_lost,avg_margen_unit,sum_eur_at_risk,n_stockout_real,precision_realizada,n_skus_en_alerta,sum_eur_recuperacion_est,sum_units_recuperacion_est
0,REST,?,171,0.0,2,0.0025,0.2208,2.3403,0.0,0.002,0.3435,0.2107,88.086,1,0.0058,0.0,0.0,0.0
0,REST,A,913,0.0,913,0.0255,3.3316,8.4995,3.6112,0.131,119.561,13.3201,5602.7401,17,0.0186,3.0,58.9243,3.9804
0,REST,B,839,0.0,839,0.0154,1.0033,4.1565,1.1108,0.0408,34.2011,13.6493,3750.5772,10,0.0119,2.0,822.186,1.7836
0,REST,C,2520,0.0,2520,0.0066,0.3517,2.6028,0.175,0.0094,23.7533,32.9375,1040.6659,5,0.002,10.0,112.8309,5.8694
1,REST,?,171,0.0,2,0.0025,0.2176,2.3373,0.0,0.0019,0.3204,0.2107,87.0922,1,0.0058,0.0,0.0,0.0
1,REST,A,913,0.0,913,0.0196,3.7135,8.4145,3.6846,0.134,122.375,13.3201,4920.8243,17,0.0186,2.0,31.0408,3.156
1,REST,B,839,0.0,839,0.0096,1.1042,4.1145,1.0536,0.0359,30.0941,13.6493,2493.7672,8,0.0095,1.0,121.8295,1.2971
1,REST,C,2520,0.0,2520,0.0017,0.3537,2.5917,0.1381,0.0053,13.4554,32.9375,743.5471,4,0.0016,1.0,219.913,2.16
2,REST,?,171,0.0,2,0.0007,0.2289,2.3485,0.0,0.0001,0.0198,0.2107,0.3284,1,0.0058,0.0,0.0,0.0
2,REST,A,913,0.0,913,0.0255,3.6637,8.5407,5.207,0.1409,128.6163,13.3201,4852.2548,12,0.0131,4.0,57.4013,2.7684
2,REST,B,839,0.0,839,0.0161,1.1169,4.2578,1.5662,0.0447,37.5416,13.6493,2911.4099,9,0.0107,1.0,116.7395,0.7594
2,REST,C,2520,0.0,2520,0.0041,0.3307,2.5958,0.2171,0.0063,15.8383,32.9375,1136.8084,6,0.0024,3.0,256.3096,3.5092
3,REST,?,171,0.0,2,0.0036,0.2156,2.2806,0.0117,0.0058,0.9888,0.2107,55.5094,0,0.0,0.0,0.0,0.0
3,REST,A,913,0.0,913,0.0256,3.5437,8.6267,8.4469,0.1337,122.0592,13.3201,4899.7271,12,0.0131,4.0,38.7529,2.4704
3,REST,B,839,0.0,839,0.0188,1.076,4.3198,2.615,0.0458,38.4624,13.6493,2783.6996,8,0.0095,2.0,121.3764,1.0784
3,REST,C,2520,0.0,2520,0.0032,0.3315,2.5921,0.5317,0.0051,12.7508,32.9375,797.0851,3,0.0012,2.0,27.2691,1.1552
4,REST,?,171,0.0,2,0.0029,0.2189,2.2839,0.0,0.0043,0.7341,0.2107,41.9233,0,0.0,0.0,0.0,0.0
4,REST,A,913,0.0,913,0.0232,3.6311,8.6166,5.1139,0.129,117.7474,13.3201,4650.0429,27,0.0296,2.0,11.3287,3.8509
4,REST,B,839,0.0,839,0.0132,1.1174,4.3056,1.3325,0.0394,33.0982,13.6493,2186.2058,19,0.0226,0.0,0.0,0.0
4,REST,C,2520,0.0,2520,0.0026,0.3342,2.6048,0.1948,0.0042,10.5301,32.9375,584.5772,23,0.0091,0.0,0.0,0.0
5,REST,?,171,0.0,2,0.0028,0.2144,2.2793,0.0,0.0025,0.4276,0.2107,34.8209,0,0.0,0.0,0.0,0.0
5,REST,A,913,0.0,913,0.0236,3.8199,8.6462,5.3505,0.1384,126.4035,13.3201,4767.3737,21,0.023,3.0,60.3652,3.8262
5,REST,B,839,0.0,839,0.0133,1.253,4.3989,1.7449,0.0455,38.1895,13.6493,2953.12,11,0.0131,0.0,0.0,0.0
5,REST,C,2520,0.0,2520,0.0038,0.3355,2.6244,0.279,0.0075,18.9154,32.9375,2030.8595,10,0.004,6.0,1414.2966,10.198
6,REST,?,171,0.0,2,0.0026,0.2143,2.2793,0.0234,0.0022,0.3779,0.2107,30.8184,0,0.0,0.0,0.0,0.0
6,REST,A,913,0.0,913,0.022,3.6022,8.6617,8.5575,0.1282,117.0839,13.3201,4791.1546,16,0.0175,2.0,9.8628,1.9754
6,REST,B,839,0.0,839,0.0127,1.1357,4.3943,2.0417,0.041,34.4118,13.6493,2513.3544,10,0.0119,0.0,0.0,0.0
6,REST,C,2520,0.0,2520,0.0037,0.3373,2.6204,0.275,0.0064,16.0843,32.9375,1239.7031,9,0.0036,5.0,555.7642,5.4478
7,REST,?,171,0.0,2,0.0007,0.2158,2.2807,0.0,0.0001,0.0183,0.2107,0.1189,0,0.0,0.0,0.0,0.0
7,REST,A,913,0.0,913,0.024,3.7905,8.7477,7.506,0.1353,123.5371,13.3201,4872.9056,26,0.0285,3.0,31.5847,2.0911
7,REST,B,839,0.0,839,0.0137,1.1132,4.4628,1.9917,0.0403,33.8334,13.6493,2258.0078,11,0.0131,2.0,44.1623,1.8386
7,REST,C,2520,0.0,2520,0.0039,0.342,2.6267,0.3774,0.0072,18.0333,32.9375,1387.012,15,0.006,3.0,122.066,2.7079
8,REST,?,171,0.0,2,0.0007,0.2178,2.2833,0.0,0.0001,0.0182,0.2107,0.1201,0,0.0,0.0,0.0,0.0
8,REST,A,913,0.0,913,0.0267,3.7201,8.9978,1.4962,0.1468,134.0617,13.3201,5373.9533,100,0.1095,1.0,4.6842,0.6408
8,REST,B,839,0.0,839,0.0173,1.1605,4.6019,0.5435,0.0587,49.2659,13.6493,2787.359,43,0.0513,1.0,26.3134,0.8644
8,REST,C,2520,0.0,2520,0.0072,0.361,2.6703,0.0794,0.011,27.7607,32.9375,2211.3321,38,0.0151,11.0,1033.7382,9.2119
9,REST,?,171,0.0,2,0.0007,0.2125,2.2667,0.0,0.0001,0.018,0.2107,0.0948,0,0.0,0.0,0.0,0.0
9,REST,A,913,0.0,913,0.0236,4.0636,9.2502,6.3198,0.1536,140.2739,13.3201,5541.1974,17,0.0186,1.0,6.7569,0.6725
9,REST,B,839,0.0,839,0.0139,1.1587,4.7044,1.8403,0.0466,39.0578,13.6493,2901.009,6,0.0072,1.0,86.5521,2.7838
9,REST,C,2520,0.0,2520,0.0047,0.369,2.679,0.2611,0.0083,20.8642,32.9375,1613.8484,7,0.0028,2.0,11.5413,1.5915
10,REST,?,171,0.0,2,0.0007,0.2219,2.2761,0.0,0.0001,0.0198,0.2107,0.139,0,0.0,0.0,0.0,0.0
10,REST,A,913,0.0,913,0.0256,3.9523,9.4341,5.8598,0.1625,148.3825,13.3201,6513.593,28,0.0307,2.0,480.5497,3.6348
10,REST,B,839,0.0,839,0.0166,1.1753,4.7383,1.6103,0.0511,42.8426,13.6493,3236.6835,7,0.0083,1.0,26.328,1.2611
10,REST,C,2520,0.0,2520,0.0046,0.3816,2.7031,0.3119,0.0116,29.2309,32.9375,2927.1069,8,0.0032,3.0,1489.1509,4.1037
11,REST,?,171,0.0,2,0.0038,0.2107,2.3194,0.0,0.0043,0.7405,0.2107,153.2128,0,0.0,1.0,153.1869,0.7233
11,REST,A,913,0.0,913,0.0311,4.0889,10.0994,8.276,0.1931,176.2639,13.3201,7153.3677,18,0.0197,1.0,466.7751,2.3588
11,REST,B,839,0.0,839,0.0151,1.2907,4.7909,2.3075,0.0581,48.7314,13.6493,3609.4158,3,0.0036,0.0,0.0,0.0
11,REST,C,2520,0.0,2520,0.0062,0.3841,2.7207,0.3992,0.0137,34.5025,32.9375,2783.2652,17,0.0067,5.0,954.2178,5.8208
12,REST,?,171,0.0,2,0.0024,0.2106,2.3194,0.8012,0.0024,0.4139,0.2107,84.5195,0,0.0,0.0,0.0,0.0
12,REST,A,913,0.0,913,0.0456,2.9634,9.7379,3.7284,0.2032,185.5293,13.3201,10498.5694,55,0.0602,7.0,580.8059,5.7047
12,REST,B,839,0.0,839,0.0213,1.0703,4.7187,1.0453,0.0621,52.14,13.6493,4813.2401,34,0.0405,2.0,151.3958,3.6072
12,REST,C,2520,0.0,2520,0.0087,0.3535,2.7495,1.4786,0.0135,33.9185,32.9375,2508.4347,17,0.0067,16.0,1032.5962,11.5354
13,REST,?,171,0.0,2,0.0024,0.2156,2.3244,0.0,0.0016,0.2784,0.2107,79.8133,11,0.0643,0.0,0.0,0.0
